Organism_ID,Pit,Phylum,Organism,code
23.0,4.152520632072582,Proteobacteria,Shewanella colwelliana (Alteromonas colwelliana) (Strain: CSB03KR),1
24.0,4.1474157777895275,Proteobacteria,Shewanella putrefaciens (Pseudomonas putrefaciens) (Strain: NCTC10736),1
25.0,4.155156481437338,Proteobacteria,Shewanella hanedai (Alteromonas hanedai) (Strain: JCM 20706),1
33.0,4.0367105067488485,Proteobacteria,Myxococcus fulvus (Strain: NBRC 100333),1
34.0,4.035459269082257,Proteobacteria,Myxococcus xanthus (Strain: GH5.1.9c20),1
41.0,4.048314675300382,Proteobacteria,Stigmatella aurantiaca (Strain: DSM 17044),1
43.0,4.05264444659333,Proteobacteria,Cystobacter fuscus (Strain: DSM 52655),1
48.0,4.053545909255681,Proteobacteria,Archangium gephyra (Strain: DSM 2261),1
52.0,4.025005529887758,Proteobacteria,Chondromyces crocatus (Strain: Cm c5),1
54.0,4.014150402562198,Proteobacteria,Nannocystis exedens (Strain: ATCC 25963),1
56.0,4.012790195659776,Proteobacteria,Sorangium cellulosum (Polyangium cellulosum) (Strain: So0008-312),1
63.0,4.0752160727886055,Proteobacteria,Vitreoscilla filiformis (Strain: ATCC 15551),1
69.0,4.025245788578607,Proteobacteria,Lysobacter enzymogenes (Strain: ATCC 29487),1
82.0,4.085055592964787,Proteobacteria,Hyphomicrobium sp.,1
87.0,4.104641388227155,Proteobacteria,Hyphomonas sp.,1
94.0,4.0153823057155265,Proteobacteria,Stella humosa (Strain: DSM 5900),1
100.0,4.034037622279284,Proteobacteria,Ancylobacter aquaticus (Strain: DSM 101),1
102.0,4.118416284366805,Bacteroidetes,Polaribacter glomeratus (Strain: ATCC 43844),29
114.0,4.057453405745576,Planctomycetes,Gemmata obscuriglobus (Strain: DSM 5831),13
124.0,4.150408180972943,Planctomycetes,Blastopirellula marina (Strain: NAP PRIS-MGV),13
140.0,4.059988842922224,Spirochaetes,Borrelia hermsii (Strain: DAH-2E7),4
142.0,4.057300496787925,Spirochaetes,Borrelia turicatae (Strain: BTE5EL),4
159.0,4.083521809120313,Spirochaetes,Brachyspira hyodysenteriae (Treponema hyodysenteriae) (Strain: BH718),4
162.0,4.1411355425975005,Spirochaetes,Treponema phagedenis (Strain: V1),4
163.0,4.158135484554568,Spirochaetes,Treponema bryantii (Strain: XBD1002),4
166.0,4.14599983473016,Spirochaetes,Treponema sp.,4
168.0,4.134483258342228,Spirochaetes,Treponema pallidum subsp. pertenue (Yaws treponeme) (Strain: Kampung Dalan K363),4
172.0,4.141962298737314,Spirochaetes,Leptospira biflexa (Strain: 201601960),4
173.0,4.130241184776957,Spirochaetes,Leptospira interrogans (Strain: FMAS_AW1),4
178.0,4.128922741901198,Spirochaetes,Leptospira sp.,4
192.0,4.029199533158405,Proteobacteria,Azospirillum brasilense,1
193.0,4.029416205472048,Proteobacteria,Azospirillum lipoferum (Strain: R1C),1
195.0,4.092956897749251,Proteobacteria,Campylobacter coli (Strain: FSIS11814979),1
196.0,4.098612338019308,Proteobacteria,Campylobacter fetus (Strain: 12S01908-5),1
197.0,4.099472990251528,Proteobacteria,Campylobacter jejuni (Strain: CB358),1
198.0,4.102253341249152,Proteobacteria,Campylobacter hyointestinalis (Strain: D2411),1
199.0,4.101033322758735,Proteobacteria,Campylobacter concisus (Strain: Lasto127.99),1
201.0,4.1225778757757325,Proteobacteria,Campylobacter lari (Strain: NCTC11458),1
202.0,4.106622787960404,Proteobacteria,Campylobacter mucosalis (Strain: DSM 21682),1
203.0,4.1125311159421765,Proteobacteria,Campylobacter rectus (Wolinella recta) (Strain: OH2158),1
205.0,4.114242565577451,Proteobacteria,Campylobacter sp.,1
210.0,4.120238787100978,Proteobacteria,Helicobacter pylori (Campylobacter pylori) (Strain: MC2011-145),1
211.0,4.131069325312037,Proteobacteria,Helicobacter sp. CLO-3 (Strain: CLO-3),1
213.0,4.143082088291802,Proteobacteria,Helicobacter cinaedi (Strain: MRY08-1234),1
215.0,4.143857095245324,Proteobacteria,Helicobacter fennelliae (Strain: NCTC13102),1
216.0,4.129410390261017,Proteobacteria,Helicobacter muridarum (Strain: ST1),1
218.0,4.130506322676725,Proteobacteria,Helicobacter sp.,1
232.0,4.156525263274088,Proteobacteria,Alteromonas sp.,1
235.0,4.1066229814571695,Proteobacteria,Brucella abortus (Strain: BAU21/S4023),1
238.0,4.14724485184222,Bacteroidetes,Elizabethkingia meningoseptica (Chryseobacterium meningosepticum) (Strain: NCTC10588),29
239.0,4.144278997138898,Bacteroidetes,Flavobacterium sp.,29
246.0,4.134248854154131,Bacteroidetes,Chryseobacterium balustinum (Strain: KC_1863),29
247.0,4.128113248538146,Bacteroidetes,Empedobacter brevis (Strain: NCTC13469),29
250.0,4.144437994840075,Bacteroidetes,Chryseobacterium gleum (Strain: NCTC11432),29
252.0,4.080609604236144,Proteobacteria,Halomonas halmophila (Strain: NBRC 15537),1
253.0,4.149399453646371,Bacteroidetes,Chryseobacterium indologenes (Strain: 3012STDY6981895),29
